NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
5411,WCY,West Croydon,London,Croydon (London),Croydon North,532150,166083,London Overground,CROYDON BR,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,1254672,2190876,2086894,5532442,5112632,607062.0524,,,,
3174,WDT,West Drayton,London,Hillingdon (London),Uxbridge and South Ruislip,506120,180120,Great Western Railway,,,London Travelcard Area Station,J.02,Heathrow Airport Jcn - Reading,Western,,550996,824208,691182,2066386,2125160,,,,,
5086,WDU,West Dulwich,London,Southwark (London),Dulwich and West Norwood,532750,173030,Southeastern,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,334990,364772,422058,1121820,1169032,,,,,
3188,WEA,West Ealing,London,Ealing (London),Ealing North,516666,180735,Great Western Railway,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,,239660,206276,477774,923710,989068,53930.153,,,,
7474,WEH,West Ham,London,Newham (London),West Ham,539210,182970,London Underground,,,London Travelcard Area Station,F.01,Fenchurch Street - Shoeburyness,Anglia,,2827468,3881258,3920900,10629626,8778194,8790.8081,1,,,
1421,WHD,West Hampstead,London,Camden (London),Hampstead and Kilburn,525520,184725,London Overground,WEST HAMPSTEAD BR,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,,971124,1432836,2318172,4722132,4814008,694996.8908,,,,
1525,WHP,West Hampstead Thameslink,London,Camden (London),Hampstead and Kilburn,525472,184836,Govia Thameslink Railway,WEST HAMPSTEAD BR,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,,902018,1024454,1763718,3690190,3710422,997080.7097,,,,
7466,WHR,West Horndon,East,Brentwood,Brentwood and Ongar,562320,188048,c2c,,,,F.01,Fenchurch Street - Shoeburyness,Anglia,,152800,67002,183152,402954,367256,,,,,
5129,WMA,West Malling,South East,Tonbridge and Malling,Tonbridge and Malling,568739,157543,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,156040,298602,398124,852766,816144,,,,,
5438,WNW,West Norwood,London,Lambeth (London),Dulwich and West Norwood,531910,172010,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,442162,620754,874166,1937082,2221492,22492.8667,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3059,WRU,West Ruislip,London,Hillingdon (London),"Ruislip, Northwood and Pinner",508370,186810,London Underground,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,,94520,60026,34788,189334,190852,4114.1322,,,,
