NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
5131,ABW,Abbey Wood,London,Bexley (London),Erith and Thamesmead,547374,179035,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,667244,728894,1592664,2988802,2929472,,,,,
7286,ACL,Acle,East,Broadland,Broadland,639900,310000,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,15032,22896,9786,47714,48660,,,,,
1404,ACC,Acton Central,London,Ealing (London),Ealing Central and Acton,520645,180295,London Overground,,,London Travelcard Area Station,E.01,Richmond - Willesden Jcn,Anglia,,537352,721522,672990,1931864,1891098,,,,,
3000,AML,Acton Main Line,London,Ealing (London),Ealing Central and Acton,520360,181230,Great Western Railway,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,,69246,63286,106004,238536,262212,,,,,
5550,ASN,Addlestone,South East,Runnymede,Runnymede and Weybridge,505587,164866,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,142346,101100,185758,429204,423444,,,,,
5160,ADM,Adisham,South East,Canterbury,Canterbury,623391,153976,Southeastern,,,,A.12,East Kent Routes,South East,,5450,7496,8272,21218,21454,,,,,
5132,AYP,Albany Park,London,Bexley (London),Old Bexley and Sidcup,547855,172860,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,256520,221368,488838,966726,991150,,,,,
3145,AMT,Aldermaston,South East,West Berkshire,Wokingham,460100,167345,Great Western Railway,,,,J.05,Reading - Newbury,Western,,21276,33748,33964,88988,81968,,,,,
5623,AHT,Aldershot,South East,Rushmoor,Aldershot,486656,150424,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,430796,542802,464016,1437614,1465212,138886.0185,,,,
5280,AGT,Aldrington,South East,The City of Brighton and Hove,Hove,527984,105666,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,41928,71066,72880,185874,236458,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
6025,AAP,Alexandra Palace,London,Haringey (London),Hornsey and Wood Green,530295,190460,Govia Thameslink Railway,,,London Travelcard Area Station,G.01,Kings Cross - Peterborough,London North East and East Midlands,,438068,604790,578806,1621664,1685542,55829.7005,,,,
6847,ALR,Alresford,East,Tendring,Harwich and North Essex,606525,221515,Greater Anglia,,,,D.16,Walton and Clacton Branches,Anglia,,12896,17222,39602,69720,68436,,,,,
6869,ALN,Althorne,East,Maldon,Maldon,590524,197929,Greater Anglia,,,,D.13,Shenfield - Southend / Southminster,Anglia,,8766,7510,28262,44538,41456,,,,,
5544,AON,Alton,South East,East Hampshire,East Hampshire,472352,139697,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,166786,236656,312720,716162,753202,,,,,
5250,AMY,Amberley,South East,Horsham,Arundel and South Downs,502632,111812,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,9800,24484,16312,50596,57828,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
506,AMR,Amersham,South East,Chiltern,Chesham and Amersham,496379,198188,London Underground,,,,M.03,Amersham - Aylesbury Vale,London North Western,,845034,902306,211526,1958866,1944310,,,,,
5510,ADV,Andover,South East,Test Valley,North West Hampshire,435565,145938,South West Trains,,,,C.14,Basingstoke - Salisbury,Wessex,,237432,509654,478816,1225902,1205858,1121.4493,,,,
5397,ANZ,Anerley,London,Bromley (London),Lewisham West and Penge,534605,169900,London Overground,,,London Travelcard Area Station,B.03,London Bridge - Windmill Bridge Jcn,South East,,258736,386864,327412,973012,887484,,,,,
6909,AGR,Angel Road,London,Enfield (London),Edmonton,535200,192200,Greater Anglia,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,13300,6448,13796,33544,27754,,1,,,
5267,ANG,Angmering,South East,Arun,Arundel and South Downs,506513,102979,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,117728,340190,242060,699978,865380,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5003,APD,Appledore,South East,Ashford,Ashford,597566,129760,Govia Thameslink Railway,,,,A.13,Hastings - Ashford,South East,,5032,11702,19152,35886,39190,,,,,
3109,APF,Appleford,South East,Vale of White Horse,Wantage,452542,193698,Great Western Railway,,,,J.07,Didcot - Oxford,Western,,1668,3174,1584,6426,7752,,,,,
1430,APS,Apsley,East,Dacorum,Hemel Hempstead,506245,204874,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,171344,178224,284916,634484,576422,,1,,,
6171,ARL,Arlesey,East,Central Bedfordshire,North East Bedfordshire,519045,237820,Govia Thameslink Railway,,,,G.01,Kings Cross - Peterborough,London North East and East Midlands,,176176,228308,289064,693548,667602,,,,,
5251,ARU,Arundel,South East,Arun,Arundel and South Downs,502444,106417,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,33348,136954,102380,272682,311906,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5666,ACT,Ascot,South East,Windsor and Maidenhead,Windsor,492200,168300,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,431402,576392,239284,1247078,1255918,308004.6472,,,,
3003,AUW,Ascott-Under-Wychwood,South East,West Oxfordshire,Witney,430114,218841,Great Western Railway,,,,J.11,Cotswolds Line,Western,,2884,228,1532,4644,4532,,,,,
5641,ASH,Ash,South East,Guildford,Surrey Heath,489934,150834,South West Trains,,,,C.09,Guildford - Wokingham,Wessex,,75446,87152,116646,279244,288430,33872.9547,,,,
5547,AHV,Ash Vale,South East,Guildford,Surrey Heath,489273,153342,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,120100,126776,233978,480854,488636,122402.2578,,,,
5667,AFS,Ashford (Middlesex),South East,Spelthorne,Spelthorne,506580,171947,South West Trains,,,,C.12,Inner Windsor Lines,Wessex,,269650,257518,530172,1057340,1066986,,,,,
5004,AFK,Ashford International,South East,Ashford,Ashford,601282,142204,Southeastern,,,,A.14,Tonbridge - Continental Jcn,South East,,584002,1540948,1673536,3798486,3764590,818551.6482,,,,
5347,AHD,Ashtead,South East,Mole Valley,Epsom and Ewell,518040,159000,Govia Thameslink Railway,,,,B.08,South Central Sutton Lines,South East,,322744,354580,639960,1317284,1329660,,,,,
5398,AHS,Ashurst,South East,Tunbridge Wells,Tunbridge Wells,550726,138801,Govia Thameslink Railway,,,,B.10,Hurst Green - Uckfield,South East,,4738,7228,10662,22628,26508,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5906,ANF,Ashurst New Forest,South East,New Forest,New Forest East,433392,110147,South West Trains,,,,C.04,Southampton - Weymouth,Wessex,,32092,44730,54770,131592,129164,,,,,
6083,AWM,Ashwell & Morden,East,South Cambridgeshire,South Cambridgeshire,529770,238615,Govia Thameslink Railway,,,,G.04,Hitchin - Cambridge,London North East and East Midlands,,30808,23630,95946,150384,144158,,,,,
1380,APG,Aspley Guise,East,Central Bedfordshire,Mid Bedfordshire,493944,236751,London Midland Trains,,,,N.12,Bletchley - Bedford,London North Western,,2198,3764,3492,9454,9564,,,,,
7367,ATL,Attleborough,East,Breckland,Mid Norfolk,605177,295033,Greater Anglia,,,,D.09,Ely - Norwich,Anglia,,47848,73628,37990,159466,153804,,,,,
7017,AUD,Audley End,East,Uttlesford,Saffron Walden,551600,236300,Greater Anglia,,,,D.05,Stansted - Ely,Anglia,,176396,308916,445648,930960,928532,7240.4786,,,,
1492,AYS,Aylesbury,South East,Aylesbury Vale,Aylesbury,481779,213470,Chiltern Railways,,,,M.03,Amersham - Aylesbury Vale,London North Western,,316304,404922,455420,1176646,1158350,4813.7208,,,,
1090,AVP,Aylesbury Vale Parkway,South East,Aylesbury Vale,Aylesbury,478641,215341,Chiltern Railways,,,,M.03,Amersham - Aylesbury Vale,London North Western,,35524,34886,98754,169164,168610,,,,,
5162,AYL,Aylesford,South East,Tonbridge and Malling,Chatham and Aylesford,572017,158687,Southeastern,,,,A.11,Strood - Paddock Wood,South East,,34016,31976,56562,122554,115314,,,,,
5197,AYH,Aylesham,South East,Dover,Dover,624182,152457,Southeastern,,,,A.12,East Kent Routes,South East,,24608,33386,30758,88752,83346,,,,,
5681,BAG,Bagshot,South East,Surrey Heath,Surrey Heath,491391,163627,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,61030,48560,50486,160076,173680,,,,,
5492,BAB,Balcombe,South East,Mid Sussex,Horsham,530670,130115,Govia Thameslink Railway,,,,B.02,Windmill Bridge Jcn - Brighton,South East,,22298,38984,66784,128066,128748,,,,,
6084,BDK,Baldock,East,North Hertfordshire,North East Hertfordshire,524540,234264,Govia Thameslink Railway,,,,G.04,Hitchin - Cambridge,London North East and East Midlands,,181304,231604,235830,648738,658208,,,,,
5399,BAL,Balham,London,Wandsworth (London),Battersea,528500,173200,Govia Thameslink Railway,,,London Travelcard Area Station,B.01,Victoria - Windmill Bridge Jcn,South East,,1680652,2549906,4520198,8750756,10114526,401168.9699,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
4502,BAN,Banbury,South East,Cherwell,Banbury,446160,240427,Chiltern Railways,,,,M.11,Oxford  - Coventry,London North Western,,637152,1174008,677600,2488760,2429822,289088.6531,,,,
5348,BAD,Banstead,South East,Reigate and Banstead,Epsom and Ewell,524588,160432,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,46502,36348,59278,142128,163524,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
7492,BKG,Barking,London,Barking and Dagenham (London),Barking,544410,184340,c2c,,,London Travelcard Area Station,F.01,Fenchurch Street - Shoeburyness,Anglia,,3243708,4718146,4824688,12786542,13428608,548809.2956,,,,
5133,BMG,Barming,South East,Tonbridge and Malling,Chatham and Aylesford,572970,156891,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,35096,42058,65696,142850,136362,,,,,
5089,BNH,Barnehurst,London,Bexley (London),Bexleyheath and Crayford,550115,176210,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,368278,436954,953234,1758466,1775310,,,,,
5551,BNS,Barnes,London,Richmond upon Thames (London),Richmond Park,522200,175700,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,679262,807286,1174736,2661284,2652558,23208.7816,,,,
5580,BNI,Barnes Bridge,London,Richmond upon Thames (London),Richmond Park,521460,176230,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,257614,268124,369638,895376,916476,,,,,
5252,BAA,Barnham,South East,Arun,Arundel and South Downs,495897,104367,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,152532,303772,447920,904224,1019876,683524.8115,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
7494,BSO,Basildon,East,Basildon,Basildon and Billericay,570368,188330,c2c,,,,F.01,Fenchurch Street - Shoeburyness,Anglia,,980438,716666,1483074,3180178,2955948,,,,,
5520,BSK,Basingstoke,South East,Basingstoke and Deane,Basingstoke,463774,152529,South West Trains,,,,C.02,Woking - Basingstoke,Wessex,,1248198,2220790,2225966,5694954,5739458,925376.988,,,,
5090,BBL,Bat & Ball,South East,Sevenoaks,Sevenoaks,553100,156800,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,27804,28800,45752,102356,88946,,1,,,
5420,BAK,Battersea Park,London,Wandsworth (London),Battersea,528745,176960,Govia Thameslink Railway,,,London Travelcard Area Station,B.01,Victoria - Windmill Bridge Jcn,South East,,375676,529174,877710,1782560,2105048,6145.9426,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5215,BAT,Battle,South East,Rother,Bexhill and Battle,575470,115569,Southeastern,,,,A.06,Tonbridge - Hastings,South East,,88246,248422,223228,559896,556020,,,,,
6870,BLB,Battlesbridge,East,Chelmsford,Maldon,577665,194895,Greater Anglia,,,,D.13,Shenfield - Southend / Southminster,Anglia,,4170,5100,7534,16804,14984,,1,,,
6006,BAY,Bayford,East,East Hertfordshire,North East Hertfordshire,531537,208274,Govia Thameslink Railway,,,,G.03,Hertford Loop,London North East and East Midlands,,14184,19744,16218,50146,53484,,,,,
3047,BCF,Beaconsfield,South East,South Bucks,Beaconsfield,494004,191144,Chiltern Railways,,,,M.01,Marylebone - Aynho Jcn,London North Western,,392188,466852,739210,1598250,1570746,,,,,
5091,BSD,Bearsted,South East,Maidstone,Faversham and Mid Kent,579882,156119,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,54258,128282,208274,390814,398246,,,,,
5890,BEU,Beaulieu Road,South East,New Forest,New Forest East,434957,106287,South West Trains,,,,C.04,Southampton - Weymouth,Wessex,,2548,4930,1380,8858,9228,,,,,
7258,BCC,Beccles,East,Waveney,Waveney,642600,290500,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,26680,69358,13868,109906,108800,,,,,
5076,BEC,Beckenham Hill,London,Lewisham (London),Lewisham East,538040,171375,Govia Thameslink Railway,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,96090,108834,124866,329790,328086,,,,,
5046,BKJ,Beckenham Junction,London,Bromley (London),Beckenham,537380,169865,Southeastern,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,663246,799042,1314816,2777104,2713014,77134.4334,,,,
1512,BDM,Bedford Midland,East,Bedford,Bedford,504167,249744,Govia Thameslink Railway,BEDFORD BR,,,I.01,St Pancras - Bedford,London North East and East Midlands,,545108.0085,1786841.221,1609414.455,3941363.684,3830074.255,53451.9371,,,,
1510,BSJ,Bedford St.Johns,East,Bedford,Bedford,505000,249015,London Midland Trains,BEDFORD BR,,,N.12,Bletchley - Bedford,London North Western,,25423.99154,83338.77943,75063.54495,183826.3159,178635.7455,,,,,
5538,BDH,Bedhampton,South East,Havant,Havant,470781,106529,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,38006,34484,44594,117084,132926,,1,,,
5198,BKS,Bekesbourne,South East,Canterbury,Canterbury,618942,156029,Southeastern,,,,A.12,East Kent Routes,South East,,6452,9870,9966,26288,28550,,,,,
5062,BGM,Bellingham,London,Lewisham (London),Lewisham East,537780,172295,Govia Thameslink Railway,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,178558,198016,404878,781452,809492,,,,,
5350,BLM,Belmont,London,Sutton (London),Sutton and Cheam,525545,162065,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,40016,21138,75616,136770,158708,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5227,BEG,Beltring,South East,Maidstone,Maidstone and The Weald,568000,147800,Southeastern,,,,A.11,Strood - Paddock Wood,South East,,2950,2592,5772,11314,11418,,,,,
5092,BVD,Belvedere,London,Bexley (London),Erith and Thamesmead,549515,179215,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,277208,279376,480104,1036688,1018914,,,,,
7439,BEF,Benfleet,East,Castle Point,Castle Point,577733,185893,c2c,,,,F.01,Fenchurch Street - Shoeburyness,Anglia,,1031038,777854,2035474,3844366,3723078,,,,,
5624,BTY,Bentley,South East,East Hampshire,East Hampshire,479211,143053,South West Trains,,,,C.17,Brookwood - Alton,Wessex,,31994,26442,83270,141706,150558,,,,,
1390,BKM,Berkhamsted,East,Dacorum,South West Hertfordshire,499336,208139,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,499706,594084,680068,1773858,1739522,,,,,
7330,BYA,Berney Arms,East,Broadland,Broadland,646000,305300,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,642,422,62,1126,1016,,,,,
5581,BRS,Berrylands,London,Kingston upon Thames (London),Kingston and Surbiton,519700,168070,South West Trains,,,London Travelcard Area Station,C.01,Waterloo - Woking,Wessex,,107120,126544,141082,374746,374332,,,,,
5323,BRK,Berwick (Sussex),South East,Wealden,Lewes,552603,106774,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,11552,31972,26198,69722,84254,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5472,BTO,Betchworth,South East,Mole Valley,Mole Valley,521052,151317,Great Western Railway,,,,C.08,Redhill - Guildford,South East,,4036,5064,6132,15232,16640,,,,,
6961,BET,Bethnal Green,London,Tower Hamlets (London),Bethnal Green and Bow,534715,182340,London Overground,,,London Travelcard Area Station,D.10,Liverpool Street - Shenfield,Anglia,,293412,440712,522252,1256376,1062062,,1,,,
5211,BEX,Bexhill,South East,Rother,Bexhill and Battle,574495,107536,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,162410,411720,632916,1207046,1524654,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5093,BXY,Bexley,London,Bexley (London),Old Bexley and Sidcup,549380,173435,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,316830,315026,515256,1147112,1176890,,,,,
5094,BXH,Bexleyheath,London,Bexley (London),Bexleyheath and Crayford,548320,175995,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,749156,836448,1484594,3070198,3008344,,,,,
3048,BCS,Bicester North,South East,Cherwell,Banbury,458550,223112,Chiltern Railways,,,,M.01,Marylebone - Aynho Jcn,London North Western,,194862,354924,373614,923400,1416600,39867.9146,1,,,
3104,BIT,Bicester Village,South East,Cherwell,Banbury,458675,221950,Chiltern Railways,,,,J.15,Bicester Town Branch,London North Western,,102364,1009666,199208,1311238,413432,56.9882,1,,Services continue through to Oxford from December 2016,https://www.chilternrailways.co.uk/oxford-london
5063,BKL,Bickley,London,Bromley (London),Bromley and Chislehurst,542370,168770,Southeastern,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,290970,296694,351466,939130,913344,3937.3233,,,,
6170,BIW,Biggleswade,East,Central Bedfordshire,North East Bedfordshire,519241,244351,Govia Thameslink Railway,,,,G.01,Kings Cross - Peterborough,London North East and East Midlands,,236428,349704,442954,1029086,992082,,,,,
6871,BIC,Billericay,East,Basildon,Basildon and Billericay,567500,195000,Greater Anglia,,,,D.13,Shenfield - Southend / Southminster,Anglia,,598062,591750,1881122,3070934,3104220,,,,,
5464,BIG,Billingshurst,South East,Horsham,Horsham,508803,125123,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,72428,144728,201410,418566,484872,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5163,BCH,Birchington-On-Sea,South East,Thanet,North Thanet,629849,169444,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,33224,88106,256182,377512,342430,,1,,,
5401,BIK,Birkbeck,London,Bromley (London),Lewisham West and Penge,535335,169000,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,26318,23328,33016,82662,116948,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
6800,BIS,Bishops Stortford,East,East Hertfordshire,Hertford and Stortford,549155,220894,Greater Anglia,,,,D.01,Bethnal Green - Stansted Airport,Anglia,,700482,946442,1518226,3165150,3104298,79203.0315,,,,
5402,BIP,Bishopstone,South East,Lewes,Lewes,546930,99908,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,4844,12364,3112,20320,28982,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5945,BTE,Bitterne,South East,City of Southampton,"Southampton, Itchen",443890,113380,South West Trains,,,,C.11,Cosham - St Denys / Eastleigh,Wessex,,32470,30550,26778,89798,97946,,,,,
5112,BFR,Blackfriars,London,City and County of the City of London,Cities of London and Westminster,531714,180914,Govia Thameslink Railway,LONDON BR,,London Travelcard Area Station,B.14,Thameslink Routes,South East,,2548414,2915748,5111884,10576046,10467646,830376.9788,,,,
5095,BKH,Blackheath,London,Lewisham (London),Lewisham East,539640,176005,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,839504,1144402,1485086,3468992,3448280,41831.0747,,,,
7400,BHO,Blackhorse Road,London,Waltham Forest (London),Walthamstow,535800,189345,London Underground,,,London Travelcard Area Station,E.04,Gospel Oak - Woodgrange Park,Anglia,,199730,307402,267088,774220,2013700,,1,,Gospel Oak to Barking Electrification works since Summer 2016,https://www.networkrail.co.uk/running-the-railway/our-routes/anglia/gospel-oak-barking-electrification/
5625,BAW,Blackwater,South East,Hart,Aldershot,485320,159875,Great Western Railway,,,,C.09,Guildford - Wokingham,Wessex,,134554,243500,148228,526282,534794,,,,,
1360,BLY,Bletchley,South East,Milton Keynes,Milton Keynes South,486859,233741,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,144344,401768,535616,1081728,1062872,100865.1042,,,,
5253,BOG,Bognor Regis,South East,Arun,Bognor Regis and Littlehampton,493415,99389,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,156786,514402,300660,971848,1202460,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5626,BKA,Bookham,South East,Mole Valley,Mole Valley,512784,155640,South West Trains,,,,C.07,Main Line Suburban Lines,Wessex,,96886,102010,132886,331782,333282,,,,,
5130,BRG,Borough Green & Wrotham,South East,Tonbridge and Malling,Tonbridge and Malling,560898,157424,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,75794,163106,202034,440934,421402,,,,,
5254,BOH,Bosham,South East,Chichester,Chichester,481246,105435,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,15768,23998,23310,63076,102358,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5894,BOE,Botley,South East,Winchester,Meon Valley,452170,113260,South West Trains,,,,C.11,Cosham - St Denys / Eastleigh,Wessex,,44008,49130,70698,163836,157654,,,,,
3018,BNE,Bourne End,South East,Wycombe,Beaconsfield,489456,187260,Great Western Railway,,,,J.13,Marlow Branch,Western,,58204,71458,127494,257156,251288,87907.1395,,,,
1381,BWB,Bow Brickhill,South East,Milton Keynes,Milton Keynes South,489604,234787,London Midland Trains,,,,N.12,Bletchley - Bedford,London North Western,,6250,8046,26330,40626,43016,,,,,
6027,BOP,Bowes Park,London,Haringey (London),Hornsey and Wood Green,530245,191470,Govia Thameslink Railway,,,London Travelcard Area Station,G.03,Hertford Loop,London North East and East Midlands,,154120,128638,586820,869578,918126,,,,,
5403,BXW,Boxhill & Westhumble,South East,Mole Valley,Mole Valley,516744,151865,Govia Thameslink Railway,,,,B.08,South Central Sutton Lines,South East,,21068,46716,30070,97854,101864,,,,,
5693,BCE,Bracknell,South East,Bracknell Forest,Bracknell,486910,168969,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,880848,707958,765764,2354570,2386098,33.3973,,,,
5530,BDN,Brading,South East,Isle of Wight,Isle of Wight,460950,86877,South West Trains (Island Line),,,,C.10,Isle of Wight,Wessex,Island Line,34696,4336,9468,48500,43846,,1,,,
6801,BTR,Braintree,East,Braintree,Braintree,576093,222736,Greater Anglia,,,,D.14,Braintree Branch,Anglia,,109300,203666,475040,788006,803716,,,,,
2053,BTP,Braintree Freeport,East,Braintree,Braintree,576925,222100,Greater Anglia,,,,D.14,Braintree Branch,Anglia,,23152,40586,18960,82698,73362,,1,,,
5500,BMY,Bramley (Hampshire),South East,Basingstoke and Deane,North East Hampshire,465518,159440,Great Western Railway,,,,J.09,Reading - Basingstoke,Wessex,,59784,126606,104542,290932,273790,,,,,
7259,BRP,Brampton (Suffolk),East,Waveney,Suffolkastal,641200,283400,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,2348,4096,1398,7842,8630,,,,,
7200,BND,Brandon,East,Breckland,South West Norfolk,578447,287245,Greater Anglia,,,,D.09,Ely - Norwich,Anglia,,40912,46426,25332,112670,106302,,,,,
5552,BFD,Brentford,London,Hounslow (London),Brentford and Isleworth,517460,177865,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,575310,455142,827156,1857608,1926198,,,,,
6872,BRE,Brentwood,East,Brentwood,Brentwood and Ongar,559315,193035,TfL Rail,,,,D.10,Liverpool Street - Shenfield,Anglia,,929780,813694,1140416,2883890,2818560,,,,,
1560,BWO,Bricket Wood,East,St. Albans,St. Albans,513482,202017,London Midland Trains,,,,N.10,Watford Junction - St Albans Abbey,London North Western,Abbey line,10092,6962,10586,27640,28942,,,,,
5268,BTN,Brighton,South East,The City of Brighton and Hove,"Brighton, Pavilion",531000,104920,Govia Thameslink Railway,BRIGHTON BR,,,B.02,Windmill Bridge Jcn - Brighton,South East,,2522980,9225382,4244710,15993072,17333326,1498335.045,,,,
6810,BMD,Brimsdown,London,Enfield (London),Enfield North,536315,197035,Greater Anglia,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,266978,326102,451888,1044968,978310,,,,,
5081,BRX,Brixton,London,Lambeth (London),Dulwich and West Norwood,531100,175500,Southeastern,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,327504,414126,602568,1344198,1282232,,,,,
5006,BSR,Broadstairs,South East,Thanet,South Thanet,639131,167997,Southeastern,,,,A.12,East Kent Routes,South East,,91650,430394,188274,710318,662898,,,,,
5886,BCU,Brockenhurst,South East,New Forest,New Forest East,430140,102008,South West Trains,,,,C.04,Southampton - Weymouth,Wessex,Lymington Line,179764,403478,375660,958902,1094160,296078.0903,1,,,
5404,BCY,Brockley,London,Lewisham (London),"Lewisham, Deptford",536420,175790,London Overground,,,London Travelcard Area Station,B.03,London Bridge - Windmill Bridge Jcn,South East,,1028848,1799166,1622638,4450652,4230946,,,,,
5096,BMN,Bromley North,London,Bromley (London),Bromley and Chislehurst,540380,169630,Southeastern,,,London Travelcard Area Station,A.08,Bromley North Branch,South East,,97574,80282,319392,497248,536856,,,,,
5064,BMS,Bromley South,London,Bromley (London),Bromley and Chislehurst,540430,168702,Southeastern,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,1987380,3191462,3353180,8532022,8317456,1001461.333,,,,
1437,BSY,Brondesbury,London,Brent (London),Hampstead and Kilburn,524755,184450,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,,510154,886450,1261284,2657888,2709888,,,,,
1438,BSP,Brondesbury Park,London,Brent (London),Hampstead and Kilburn,524225,183940,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,,314314,360114,371516,1045944,1048556,,,,,
6074,BPK,Brookman's Park,East,Welwyn Hatfield,Welwyn Hatfield,524119,204007,Govia Thameslink Railway,,,,G.01,Kings Cross - Peterborough,London North East and East Midlands,,67650,55252,120906,243808,240784,,,,,
5687,BKO,Brookwood,South East,Woking,Woking,495200,156954,South West Trains,,,,C.02,Woking - Basingstoke,Wessex,,268754,200626,498026,967406,995142,55753.6684,,,,
6812,BXB,Broxbourne,East,Broxbourne,Broxbourne,537403,207228,Greater Anglia,,,,D.01,Bethnal Green - Stansted Airport,Anglia,,566616,693490,577778,1837884,1780328,344421.7319,,,,
